Issue id,Summary,Status,Priority,Resolution,Description
13393001,Run CI for Ubuntu 18.04,Open,Critical,,Need to run the CI for Ubuntu 18.04 since it's a supported platform. The CI will run on this platform only when there's C++ file/C++ build/platform related changes.
13393000,Run CI for Fedora 33,Open,Critical,,Need to run the CI for Fedora 33 since it's a supported platform. The CI will run on this platform only when there's C++ file/C++ build/platform related changes.
13403878,Add s3a tool to convert S3 server logs to avro/csv files,In Progress,Major,,"Add s3a tool to convert S3 server logs to avro/csv files With S3A Auditing, we have code in hadoop-aws to parse s3 log entries, including splitting up the referrer into its fields. But we don't have an easy way of using it. I've done some early work in spark but as well as that code not working ([https://github.com/hortonworks-spark/cloud-integration/blob/master/spark-cloud-integration/src/main/scala/com/cloudera/spark/cloud/s3/S3LogRecordParser.scala]), it doesn't do the audit splitting. And, given that the S3 audit logs can be small on a lightly loaded store, not always justified. Proposed we add # utility parser class to take a row and split it into a record # which can be saved to avro through a schema we define # or exported to CSV with/without headers. (with: easy to understand, without: can cat files) # add a mapper so this can be used in MR jobs (could even make it committer test ..) # and a ""hadoop s3guard/hadoop s3"" entry point so you can do it on the cli {code:java} hadoop s3 parselogs -format avro -out s3a://dest/path -recursive s3a://stevel-london/logs/bucket1/* {code} would take all files under the path, load, parse and emit the output. design issues * would you combi"
13398683,S3A DeleteOperation to parallelize POSTing of bulk deletes,Open,Major,,"Once the need to update the DDB tables is removed, we can't go from a single POSTed delete at a time to posting a large set of bulk delete operations in parallel. The current design is to support incremental update of S3Guard tables, including handling partial failures. Not a problem anymore. This will significantly improve delete() performance on directory trees with many many children/descendants, as it goes from a sequence of children/1000 POSTs to parallel writes. As each file deleted is still throttled, we will be limited to 3500 deletes/second with throttling, so throwing a large pool of workers at the problem would be counter-productive and potentially cause problems for other applications trying to write down the same directory tree. But we can do better than one-POST at a time. Proposed * if parallel delete is off: no limit * parallel delete is on, limit #of parallel to 3000/page-size: you'll never have more updates pending than the write limit of a single shard."
13396008,S3A: Allow SSE configurations per object path,Open,Major,,"Currently, we can map the SSE configurations at bucket level only: {code:java} <property> <name>fs.s3a.bucket.ireland-dev.server-side-encryption-algorithm</name> <value>SSE-KMS</value> </property> <property> <name>fs.s3a.bucket.ireland-dev.server-side-encryption.key</name> <value>arn:aws:kms:eu-west-1:98067faff834c:key/071a86ff-8881-4ba0-9230-95af6d01ca01</value> </property> {code} But sometimes we want to encrypt data in different paths with different keys within the same bucket. For example, a partitioned table might benefit from encrypting each partition with a different key when the partition represents a customer or a country. [S3 already can encrypt using different keys/configurations at the object level|https://aws.amazon.com/premiumsupport/knowledge-center/s3-encrypt-specific-folder/], so what we need to do on Hadoop is to provide a way to map which key to use. One idea could be mapping them in the XML config: {code:java} <property> <name>fs.s3a.server-side-encryption.paths</name> <value>s3://bucket/my_table/country=ireland,s3://bucket/my_table/country=uk, s3://bucket/my_table/country=germany</value> </property> <property> <name>fs.s3a.server-side-encryption.path-keys</name"
13399600,RawLocalFileSystem cannot mkdir/chmod paths with emojis. ☹️,Open,Major,,*Bug description:* `fs.mkdirs` command for `RawLocalFileSystem` doesn't work in Hadoop 3 with NativeIO enabled. The failure was happening when doing the native `chmod` command to the file (the `mkdir` command itself is working). Stacktrace: {{ENOENT: No such file or directory ENOENT: No such file or directory at org.apache.hadoop.io.nativeio.NativeIO$POSIX.chmodImpl(Native Method) at org.apache.hadoop.io.nativeio.NativeIO$POSIX.chmod(NativeIO.java:382) at org.apache.hadoop.fs.RawLocalFileSystem.setPermission(RawLocalFileSystem.java:974) at org.apache.hadoop.fs.RawLocalFileSystem.mkOneDirWithMode(RawLocalFileSystem.java:660) at org.apache.hadoop.fs.RawLocalFileSystem.mkdirsWithOptionalPermission(RawLocalFileSystem.java:700) at org.apache.hadoop.fs.RawLocalFileSystem.mkdirs(RawLocalFileSystem.java:672)}} *To reproduce:* * Add `fs.mkdirs` in RawLocalFileSystem with NativeIO enabled. * Sample: [https://github.com/apache/hadoop/pull/3391]
13392896,ABFS: Transient failure of TestAbfsClientThrottlingAnalyzer.testManySuccessAndErrorsAndWaiting,Open,Major,,"Transient failure of the below test observed for HNS OAuth, AppendBlob HNS OAuth and Non-HNS SharedKey combinations. The value denoted by ""actual value"" below varies across failures, and exceeds the upper limit of the expected range. _TestAbfsClientThrottlingAnalyzer.testManySuccessAndErrorsAndWaiting:171->fuzzyValidate:49 The actual value 10 is not within the expected range: [5.60, 8.40]._ Verified failure with client and server in the same region to rule out network issues."
13397564,ABFS: Fix transient failures in ITestAbfsStreamStatistics and ITestAbfsRestOperationException,Reopened,Major,,"To address transient failures in the following test classes: * ITestAbfsStreamStatistics: Uses a filesystem level instance to record read/write statistics, which also tracks these operations in other tests. running parallelly. To be marked for sequential run only to avoid transient failure * ITestAbfsRestOperationException: The use of a static member to track retry count causes transient failures when two tests of this class happen to run together. Switch to non-static variable for assertions on retry count"
13397530,ABFS: Refactor read flow to include ReadRequestParameter,Open,Major,,This Jira is to facilitate upcoming work as part of adding an alternate connection : HADOOP-17853 ABFS: Enable optional store connectivity over azure specific protocol for data egress - ASF JIRA (apache.org) The scope of the change is to introduce a ReadRequestParameter that will include the various inputs needed for the read request to AbfsClient class.
13395708,ABFS: Enable optional store connectivity over azure specific protocol for data egress,Open,Major,,This Jira is to provide an option to enable store access on read path over an Azure specific protocol. This will only work on Azure VMs and hence will be disabled by default.
13397162,ABFS: Fork AbfsHttpOperation to add alternate connection,Open,Major,,This Jira is to facilitate upcoming work as part of adding an alternate connection : [HADOOP-17853] ABFS: Enable optional store connectivity over azure specific protocol for data egress - ASF JIRA (apache.org) The scope of the change is to make AbfsHttpOperation as abstract class and create a child class AbfsHttpConnection. Future connection types will be added as child of AbfsHttpOperation.
13399255,ABFS: Refactor HTTP request handling code,Open,Major,,Aims at Http request handling code refactoring.
13397424,WASB: Fix Compiler Warnings,Open,Major,,"To track a list of WASB compiler warnings, which are also intermittently affecting yetus runs on ABFS driver PRs. # hadoop-tools/hadoop-azure/src/main/java/org/apache/hadoop/fs/azure/PageBlobOutputStream.java:210:29:[deprecation] HFLUSH in StreamCapabilities has been deprecated"
13387754,ABFS: Modifications to TracingContext,Open,Major,,"TracingContext introduced in the PR [HADOOP-17290|https://github.com/apache/hadoop/pull/2520] tracks a request with identifiers as it passes through ABFS layers. Creating this Jira to track suggested modifications and improvements to the tracing structure. * rename Listener; remove it from TracingContext constructor, confine to setter * make fields (identifiers) immutable; eliminate retry count field => reduce instance cloning * introduce child classes of TracingContext to handle stream/continuation ops"
13393311,Bump aliyun-sdk-oss to 3.13.0,Resolved,Major,Fixed,Bump aliyun-sdk-oss to 3.13.0 in order to remove transitive dependency on jdom 1.1. Ref: https://issues.apache.org/jira/browse/HADOOP-17820?focusedCommentId=17390206&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-17390206.
13402753,implement non-guava Precondition checkState,Resolved,Major,Fixed,"As part In order to replace Guava Preconditions, we need to implement our own versions of the API. This Jira is to add the implementation {{checkState}} to the existing class {{org.apache.hadoop.util.Preconditions}} +The plan is as follows+ * implement {{org.apache.hadoop.util.Preconditions.checkState}} with the minimum set of interface used in the current hadoop repo. * we can replace {{guava.Preconditions}} by {{org.apache.hadoop.util.Preconditions}} once all the interfaces have been implemented (both this jira and HADOOP-17929 are complete). * We need the change to be easily to be backported in 3.x. previous jiras: * HADOOP-17126 was created to implement CheckNotNull. * HADOOP-17929 implementing checkArgument. CC: [~stevel@apache.org], [~vjasani]"
13402746,implement non-guava Precondition checkArgument,Resolved,Major,Fixed,"As part In order to replace Guava Preconditions, we need to implement our own versions of the API. This Jira is to add the implementation {{checkArgument}} to the existing class {{org.apache.hadoop.util.Preconditions}} +The plan is as follows+ * implement {{org.apache.hadoop.util.Preconditions.checkArgument}} with the minimum set of interface used in the current hadoop repo. * we can replace {{guava.Preconditions}} by {{org.apache.hadoop.util.Preconditions}} once all the interfaces have been implemented. * We need the change to be easily to be backported in 3.x. A previous jira HADOOP-17126 was created to replace CheckNotNull. HADOOP-17930 is created to implement checkState. CC: [~stevel@apache.org], [~vjasani]"
13401290,[JDK 17] TestNetUtils fails,Resolved,Major,Fixed,"TestNetUtils#testInvalidAddress fails. {noformat} [INFO] Running org.apache.hadoop.net.TestNetUtils [ERROR] Tests run: 48, Failures: 1, Errors: 0, Skipped: 0, Time elapsed: 4.469 s <<< FAILURE! - in org.apache.hadoop.net.TestNetUtils [ERROR] testInvalidAddress(org.apache.hadoop.net.TestNetUtils) Time elapsed: 0.386 s <<< FAILURE! java.lang.AssertionError: Expected to find 'invalid-test-host:0' but got unexpected exception: java.net.UnknownHostException: invalid-test-host/<unresolved>:0 at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:592) at org.apache.hadoop.net.NetUtils.connect(NetUtils.java:551) at org.apache.hadoop.net.TestNetUtils.testInvalidAddress(TestNetUtils.java:109) at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method) at java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:77) at java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43) at java.base/java.lang.reflect.Method.invoke(Method.java:568) at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59) at org.junit.internal.runners.model.ReflectiveCallable.run(Reflecti"
13391688,Provide fallbacks for identity/cost providers and backoff enable,Resolved,Major,Fixed,"This sub-task is to provide default properties for identity-provider.impl, cost-provider.impl and backoff.enable such that if properties with port is not configured, we can fallback to default property (port-less)."
13403037,TestLocalFSCopyFromLocal.testDestinationFileIsToParentDirectory failure after reverting HADOOP-16878,Resolved,Major,Fixed,"After reverting HADOOP-16878 from branch-3.3, test {{TestLocalFSCopyFromLocal.testDestinationFileIsToParentDirectory}} started to fail because it expects an exception but the copying succeeded."
13397449,Add more test for the BuiltInGzipCompressor,Resolved,Major,Fixed,We added BuiltInGzipCompressor recently. It is better to add more compatibility tests for the compressor.
13403462,Upgrade Kafka to 2.8.1,Resolved,Major,Fixed,Kafka 2.4.0 has the following vulnerability. [https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2021-38153]
13399415,lz4-java and snappy-java should be excluded from relocation in shaded Hadoop libraries,Resolved,Major,Fixed,"lz4-java is a provided dependency. So in the shaded Hadoop libraries, e.g. hadoop-client-api, if we don't exclude lz4 dependency, the downstream will still see the exception even they include lz4 dependency. {code:java} [info] Cause: java.lang.ClassNotFoundException: org.apache.hadoop.shaded.net.jpountz.lz4.LZ4Factory [info] at java.net.URLClassLoader.findClass(URLClassLoader.java:382) [info] at java.lang.ClassLoader.loadClass(ClassLoader.java:418) [info] at sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:352) [info] at java.lang.ClassLoader.loadClass(ClassLoader.java:351) [info] at org.apache.hadoop.io.compress.lz4.Lz4Compressor.<init>(Lz4Compressor.java:66) [info] at org.apache.hadoop.io.compress.Lz4Codec.createCompressor(Lz4Codec.java:119) [info] at org.apache.hadoop.io.compress.CodecPool.getCompressor(CodecPool.java:152) [info] at org.apache.hadoop.io.compress.CodecPool.getCompressor(CodecPool.java:168) {code} Currently snappy-java is included and relocated in Hadoop shaded client libraries. But as it includes native methods, it should not be relocated too due to JNI method resolution. The downstream will see the exception: {code} [info] Cause: java.lang.UnsatisfiedLin"
13400141,Test Result Not Working In Jenkins Result,Resolved,Major,Fixed,"The jenkins used to show the Test Results, now the list is broken and No PR has that working. eg: [https://ci-hadoop.apache.org/job/hadoop-multibranch/job/PR-3404/1/testReport/] For Daily Build No Test Result as well: https://ci-hadoop.apache.org/job/hadoop-qbt-trunk-java8-linux-x86_64/622/"
13398785,Upgrade ant to 1.10.11,Resolved,Major,Fixed,Vulnerabilities reported in org.apache.ant:ant:1.10.9 * [CVE-2021-36374|https://nvd.nist.gov/vuln/detail/CVE-2021-36374] moderate severity * [CVE-2021-36373|https://nvd.nist.gov/vuln/detail/CVE-2021-36373] moderate severity suggested: org.apache.ant:ant ~> 1.10.11
13394607,Upgrade JSON smart to 2.4.7,Resolved,Major,Fixed,Currently we are using JSON Smart 2.4.2 version which is vulnerable to - CVE-2021-31684. We can upgrade the version to 2.4.7 (2.4.5 or later).
13389310,Upgrade jetty version to 9.4.43,Resolved,Major,Fixed,https://github.com/eclipse/jetty.project/security/advisories/GHSA-m6cp-vxjx-65j6 https://github.com/eclipse/jetty.project/security/advisories/GHSA-gwcr-j4wh-j3cq
13388312,Better token validation,Resolved,Major,Fixed,`MessageDigest.isEqual()` should be used for checking tokens.
13400214,Modify Text.ensureCapacity() to efficiently max out the backing array size,Resolved,Major,Fixed,"This is a continuation of HADOOP-17901. Right now we use a factor of 1.5x to increase the byte array if it's full. However, if the size reaches a certain point, the increment is only (current size + length). This can cause performance issues if the textual data which we intend to store is beyond this point. Instead, let's max out the array to the maximum. Based on different sources, a safe choice seems to be Integer.MAX_VALUE - 8 (see ArrayList, AbstractCollection, HashTable, etc)."
13399949,Move ClusterStorageCapacityExceededException to Public from LimitedPrivate,Resolved,Major,Fixed,"As of now the exception is marked limited private {code:java} @InterfaceAudience.LimitedPrivate({ ""HDFS"", ""MapReduce"", ""Tez"" }) {code} Doesn't allow other projects, Rather than individually adding project, Make it Public itself. This exception can be used to act as a fail-fast marker for different operations."
13399051,Remove GzipOutputStream,Resolved,Major,Fixed,"As we provide built-in gzip compressor, we can use it in compressor stream. The wrapper GzipOutputStream can be removed now."
13396187,Check real user ACLs in addition to proxied user ACLs,Resolved,Major,Fixed,"In a secure cluster, it is possible to configure the services to allow a super-user to proxy to a regular user and perform actions on behalf of the proxied user (see [Proxy user - Superusers Acting On Behalf Of Other Users|https://hadoop.apache.org/docs/current/hadoop-project-dist/hadoop-common/Superusers.html]). This is useful for automating server access for multiple different users in a multi-tenant cluster. For example, this can be used by a super user submitting jobs to a YARN queue, accessing HDFS files, scheduling Oozie workflows, etc, which will then execute the service as the proxied user. Usually when these services check ACLs to determine if the user has access to the requested resources, the service only needs to check the ACLs for the proxied user. However, it is sometimes desirable to allow the proxied user to have access to the resources when only the real user has open ACLs. For instance, let's say the user {{adm}} is the only user with submit ACLs to the {{dataload}} queue, and the {{adm}} user wants to submit apps to the {{dataload}} queue on behalf of users {{headless1}} and {{headless2}}. In addition, we want to be able to bill {{headless1}} and {{headless2}} se"
13386947,"hadoop-aws landsat-pds test bucket will be deleted after Jul 1, 2021",Resolved,Major,Duplicate,"I found an anouncement that landsat-pds buket will be deleted on July 1, 2021 (https://registry.opendata.aws/landsat-8/) and I think this bucket is used in th test of hadoop-aws module use [https://github.com/apache/hadoop/blob/trunk/hadoop-tools/hadoop-aws/src/test/java/org/apache/hadoop/fs/s3a/S3ATestConstants.java#L93] At this time I can access the bucket but we might have to change the test bucket in someday."
13387240,Replace IOUtils#closeQuietly usages,Resolved,Major,Fixed,"IOUtils#closeQuietly is deprecated since 2.6 release of commons-io without any replacement. Since we already have good replacement available in Hadoop's own IOUtils, we should use it."
13388702,Provide fallbacks for callqueue.impl and scheduler.impl,Resolved,Major,Fixed,"As mentioned in parent Jira, we should provide default properties for callqueue.impl and scheduler.impl such that if properties with port is not configured, we can fallback to default property. If ""ipc.8020.callqueue.impl"" is not present, fallback property could be ""ipc.callqueue.impl"" (without port). We can take up rest of the callqueue properties in separate sub-tasks."
13391234,Checkstyle - Allow line length: 100,Resolved,Major,Fixed,Update the checkstyle rule to allow for 100 or 120 characters. Discussion thread: [https://lists.apache.org/thread.html/r69c363fb365d4cfdec44433e7f6ec7d7eb3505067c2fcb793765068f%40%3Ccommon-dev.hadoop.apache.org%3E]
13393429,Use CuratorCache implementation instead of PathChildrenCache / TreeCache,Resolved,Major,Fixed,"As we have moved to Curator 5.2.0 for Hadoop 3.4.0, we should start using new CuratorCache service implementation in place of deprecated PathChildrenCache and TreeCache usecases."
13396628,Avoid possible class loading deadlock with VerifierNone initialization,Resolved,Major,Fixed,"Superclass Verifier has a static initializer VERIFIER_NONE that initializes sub-class VerifierNone. This reference can result in deadlock during class loading as per [https://docs.oracle.com/javase/specs/jls/se8/html/jls-12.html#jls-12.4.2]. As of today, only RpcProgram use this instance and hence it is safe but if more clients start using this (specifically static ones), it has potential to bring deadlock. We should break this referencing before it is late."
13397644,ExceptionsHandler to add terse/suppressed Exceptions in thread-safe manner,Resolved,Major,Fixed,"Even though we have explicit comments stating that we have thread-safe replacement of terseExceptions and suppressedExceptions, in reality we don't have it. As we can't guarantee only non-concurrent addition of Exceptions at a time from any Server implementation, we should make this thread-safe."
13399432,Add Hadoop code formatter in dev-support,Resolved,Major,Fixed,We should add Hadoop code formatter xml to dev-support specifically for new developers to refer to.
13404264,Provide alternative to Guava VisibleForTesting,Resolved,Major,Fixed,"In an attempt to reduce the dependency on Guava, we should remove VisibleForTesting annotation usages as it has very high usage in our codebase. This Jira is to provide Hadoop's own alternative and use it in hadoop-common-project modules."
13401361,ABFS: Support for Encryption Context,Resolved,Major,Fixed,"Support for customer-provided encryption keys at the file level, superceding the global (account-level) key use in HADOOP-17536. ABFS driver will support an ""EncryptionContext"" plugin for retrieving encryption information, the implementation for which should be provided by the client. The keys/context retrieved will be sent via request headers to the server, which will store the encryption context. Subsequent REST calls to server that access data/user metadata of the file will require fetching the encryption context through a GetFileProperties call and retrieving the key from the custom provider, before sending the request."
13389501,Improve the GitHub pull request template,Resolved,Major,Fixed,The current Hadoop pull request template can be improved. - Require some information (e.g. https://github.com/apache/spark/blob/master/.github/PULL_REQUEST_TEMPLATE) - Checklists (e.g. https://github.com/apache/nifi/blob/main/.github/PULL_REQUEST_TEMPLATE.md) - Move current notice to comment (i.e. surround with <!-- and -->)
13396833,improve YARN Registry DNS Server qps,Open,Major,,"There are some points to improve the performance of YARN Registry DNS Server. - Do not print unnecessary logs (It just needs change log4j.properties) -- log4j.logger.org.apache.hadoop.registry.server.dns=WARN - Change some loglevels at points which can affect performance degradation. - Use ""newFixedThreadPool"" instead of ""newCachedThreadPool"" to prevent OOM - Use Blocking on TCP handler. Using non-blocking and sleeping some time(""Thread.sleep(500)"") is meaningless. In our environment, QPS of original yarn dns server is about 5000 (UDP), 100 (TCP). Now, QPS of our improved yarn dns server is about 47000 (UDP), 500 (TCP). I will make a pull request at https://github.com/apache/hadoop soon."
13392716,fs.s3a.acl.default not working after S3A Audit feature added,Resolved,Major,Fixed,"After HADOOP-17511 the fs.s3a.acl.default propperty isn't being passed through to S3 PUT/COPY requests. The new RequestFactory is being given the acl values from the S3A FS instance, but the factory is being created before the acl settings are loaded from the configuration. Fix, and ideally, test (if the getXAttr lets us see this now)"
13399638,ABFS: Stabilize openFile withStatus,Resolved,Major,Duplicate,"Add support for more FileStatus types at OpenFile, and address minor concerns with HADOOP-17682 PR."
13395121,S3AInstrumentation Closing output stream statistics while data is still marked as pending upload in OutputStreamStatistics,Open,Major,,"When using hadoop s3a file upload for spark event Logs, the logs were queued up and not uploaded before the process is shut down: {code:java} // 21/08/13 12:22:39 WARN ExecutorPodsWatchSnapshotSource: Kubernetes client has been closed (this is expected if the application is shutting down.) 21/08/13 12:22:39 WARN S3AInstrumentation: Closing output stream statistics while data is still marked as pending upload in OutputStreamStatistics{blocksSubmitted=1, blocksInQueue=1, blocksActive=0, blockUploadsCompleted=0, blockUploadsFailed=0, bytesPendingUpload=106716, bytesUploaded=0, blocksAllocated=1, blocksReleased=1, blocksActivelyAllocated=0, exceptionsInMultipartFinalize=0, transferDuration=0 ms, queueDuration=0 ms, averageQueueTime=0 ms, totalUploadDuration=0 ms, effectiveBandwidth=0.0 bytes/s}{code} details see logs attached"
13396667,"Upgrade third party protobuf-java-2.5.0.jar to address vulnerabilities #CVE-2015-5237, CVE-2019-15544,",Open,Major,,"Third party jar protobuf-java-2.5.0.jar reports vulnerabilities # CVE-2015-5237, CVE-2019-15544 and need to be upgraded. CVE-2019-15544： Vulnerability Description：An issue was discovered in the protobuf crate before 2.6.0 for Rust. Attackers can exhaust all memory via Vec::reserve calls. CVE-2015-5237： Vulnerability Description：protobuf allows remote authenticated attackers to cause a heap-based buffer overflow. Please review and let me know if you have any concerns or would like to add more details to upgrade."
13403386,Support building on Apple Silicon,Resolved,Major,Fixed,
13398730,distcp to use openFile() with sequential IO; ranges of reads,Resolved,Major,Fixed,"once openFile adds standard options for sequential access, distcp to adopt so as to enforce sequential reads on all uploads/backups"
13389886,Add ListWithIOStats<T> wrapper to return IOStats from a list.,Resolved,Major,Won't Fix,"Just as RemoteIterators now adds the ability to add an IOStats result, it'd be handy to do the same for a java.util.List. This makes it possible to return IO stats from static methods which return them"
